K,Rem,frictionFactor
0.6,2827.361046560313,4.414564612747191
0.6,2827.361046560313,5.25434856765229
0.6,2356.4265102663417,6.121439965869316
0.6,2038.3446388380517,7.07670597229085
0.6,1885.6851531034017,6.6578399292004375
0.6,1810.3025529569961,6.167698076451764
0.6,1741.546892663471,6.638099156456482
0.6,1626.9674258174132,7.253062929791919
0.6,1560.81716031556,7.697820913799714
0.6,1540.4712512882777,8.03214561827335
0.6,2827.2708806397027,4.414643414106378
0.6,2827.2708806397027,5.254517396145128
0.6,2356.2912459710706,6.1217350059513835
0.6,2038.1691323575894,7.077173391563825
0.6,1885.462659729301,6.658386661837491
0.6,1810.0370004864635,6.1683256904686825
0.6,1741.2303405857274,6.638928718463334
0.6,1626.6042602978548,7.254111808266631
0.6,1560.4140176939088,7.699085318115391
0.6,1540.0193359869131,8.033608375202801
0.6,2827.1085883630653,4.414785263642555
0.6,2827.1085883630653,5.2548081817609305
0.6,2356.05830682217,6.122237732340382
0.6,2037.8701519616948,7.07795677310734
0.6,1885.0898848113602,6.659325825269803
0.6,1809.5810230106715,6.169383013370761
0.6,1740.6973147497088,6.640280163329383
0.6,1626.0129720660545,7.255847656142998
0.6,1559.747291658797,7.701202750822018
0.6,1539.263130258366,8.03603313566828
0.6,2826.901226835664,4.414966529093813
0.6,2826.901226835664,5.25521158283782
0.6,2355.735231247666,6.122948247371853
0.6,2037.4477454940213,7.07904368628352
0.6,1884.572917347146,6.660610173652868
0.6,1808.9578250149902,6.1708594661580705
0.6,1739.953539691581,6.642189720335611
0.6,1625.178229382577,7.258271459777269
0.6,1558.8172796585034,7.704147091799431
0.6,1538.2128415217692,8.039436006072572
0.6,2826.6307754035743,4.415202984662097
0.6,2826.6307754035743,5.255727651243621
0.6,2355.322051897549,6.123866695722007
0.6,2036.901980533399,7.080459701676272
0.6,1883.8998444867846,6.662287707608243
0.6,1808.1444897122465,6.172766678274052
0.6,1738.9937064327482,6.644658352250742
0.6,1624.10036234769,7.261410551660937
0.6,1557.614459001571,7.707947792046241
0.6,1536.8591944855855,8.043805090802287
0.6,2826.297250011251,4.415494648080963
0.6,2826.297250011251,5.25635645334992
0.6,2354.8188105190757,6.124971385413804
0.6,2036.245933518887,7.082179910704572
0.6,1883.0828261486079,6.664335205535218
0.6,1807.1527717007777,6.175083375925705
0.6,1737.8292168751861,6.647651654160666
0.6,1622.7953274481258,7.265240804866278
0.6,1556.1493147378587,7.71260738409113
0.6,1535.202894261549,8.049172335041781
0.6,2825.9006703189025,4.415841541228343
0.6,2825.9006703189025,5.257107458947878
0.6,2354.218049263158,6.126284406195642
0.6,2035.4667134378074,7.084217415390672
0.6,1882.1160236148264,6.666753349014541
0.6,1805.9829294438366,6.177821525956031
0.6,1736.4548933625026,6.651194834522421
0.6,1621.253261799495,7.2697644034277475
0.6,1554.4224987326158,7.718101350247135
0.6,1533.254587497541,8.055498462348611
0.6,2825.441059699584,4.416243690130644
0.6,2825.441059699584,5.257971380729488
0.6,2353.5273405770763,6.127784126648209
0.6,2034.5774245988782,7.086547428187419
0.6,1881.0116410782057,6.669531017505937
0.6,1804.6410249442786,6.180993304842583
0.6,1734.865639077827,6.65531347000818
0.6,1619.4644253996796,7.27500998251924
0.6,1552.424870012102,7.72444708290703
0.6,1531.0103672241762,8.062802427897289
0.6,2824.9274551090984,4.4166932373572605
0.6,2824.9274551090984,5.258948329937511
0.6,2352.7467541834103,6.129514643235132
0.6,2033.552245781846,7.089221232299046
0.6,1879.745903814233,6.672704920581895
0.6,1803.1101367606211,6.1845889750559015
0.6,1733.0675040046776,6.65996198189022
0.6,1617.450185182729,7.280954563126492
0.6,1550.1672438134751,7.731676491749834
0.6,1528.4616200295168,8.071118482793485
0.6,2824.3508741998035,4.4171981012224855
0.6,2824.3508741998035,5.260038432434714
0.6,2351.8763688448007,6.131421533252157
0.6,2032.4237770020652,7.0921888543025915
0.6,1878.34307074299,6.67624033558276
0.6,1801.4079333511268,6.188621095488581
0.6,1731.055535811412,6.665178419758517
0.6,1615.1958155533957,7.287601555589563
0.6,1547.6506197983788,7.739738947158494
0.6,1525.6291706767568,8.08040932053306
0.6,2823.711350930974,4.417758319636651
0.6,2823.711350930974,5.261251232445831
0.6,2350.908772947376,6.133549005381589
0.6,2031.166248262479,7.09548912742467
0.6,1876.7854462220196,6.680162335945326
0.6,1799.5233562141636,6.193069165073233
0.6,1728.8414274609167,6.6709295378025635
0.6,1612.7176472831159,7.2949547830948696
0.6,1544.8761100510521,7.748695316014407
0.6,1522.4949604441908,8.090725263346066
0.6,2823.0089229583427,4.418373934681891
0.6,2823.0089229583427,5.262577490948308
0.6,2349.851568578719,6.13586458221651
0.6,2029.799300031029,7.099084840627507
0.6,1875.0913212490718,6.68444831870704
0.6,1797.4683842658083,6.197946084953617
0.6,1726.4203512307727,6.677254053120908
0.6,1610.0011656763031,7.3030316134366835
0.6,1541.8400133603723,7.758509874501991
0.6,1519.0751880146017,8.102044910282823
0.6,2822.252633994906,4.419037096635821
0.6,2822.252633994906,5.264017379150246
0.6,2348.704862244737,6.13840165065864
0.6,2028.3037099773874,7.103027792518065
0.6,1873.2371066214466,6.689135666066654
0.6,1795.226339188325,6.203287278331085
0.6,1723.7765612331195,6.684179230035088
0.6,1607.0371672040706,7.311863123535075
0.6,1538.5338598921142,7.7692450602715555
0.6,1515.3521821667734,8.114420483602618
0.6,2821.433522084059,4.419755746767884
0.6,2821.433522084059,5.265580502258354
0.6,2347.4612796679216,6.141138763454413
0.6,2026.6926642145022,7.107268168380719
0.6,1871.247113395093,6.694190011762406
0.6,1792.8150107750068,6.209039338011567
0.6,1720.9384407671978,6.691636522766925
0.6,1603.8576007200456,7.3214019584671775
0.6,1534.9788039147752,7.78083822273966
0.6,1511.3520674110596,8.12778811564753
0.6,2820.551635408115,4.420529939129271
0.6,2820.551635408115,5.267248228771357
0.6,2346.1359283879965,6.144076453139795
0.6,2024.966405285332,7.111832541666569
0.6,1869.1097889189539,6.699625039618635
0.6,1790.2292839508318,6.215226885420467
0.6,1717.8958619039204,6.6996535878325
0.6,1600.4533680841862,7.331653575447225
0.6,1531.1763702928931,7.7933250858458685
0.6,1507.0671455907423,8.142201635960465
0.6,2819.6160207910016,4.421351827719738
0.6,2819.6160207910016,5.269030188154969
0.6,2344.7214484623487,6.1472152920663135
0.6,2023.1251927961343,7.116722151550385
0.6,1866.8255784684254,6.705454641474842
0.6,1787.4641153718546,6.2218749018374515
0.6,1714.638824805089,6.708270695694939
0.6,1596.81042066147,7.3426636702642885
0.6,1527.1135344784873,7.80672822927949
0.6,1502.4947527436827,8.15767195017997
0.6,2818.6087409869588,4.4222372803658025
0.6,2818.6087409869588,5.27094548800051
0.6,2343.203026382411,6.150566923776887
0.6,2021.1628509835184,7.121925534051987
0.6,1864.4009111966773,6.711656700418747
0.6,1784.5316411455708,6.228941386894121
0.6,1711.1902826530209,6.717456002940688
0.6,1592.945478946775,7.354425641992447
0.6,1522.7970007499096,7.821042725935731
0.6,1497.6419977966482,8.174181128049383
0.6,2817.5478419600986,4.423170551718564
0.6,2817.5478419600986,5.272966080794976
0.6,2341.603259895909,6.1541209954837806
0.6,2019.0861372177785,7.127456865421188
0.6,1861.83032345838,6.718257458665674
0.6,1781.4212040202356,6.236462914997253
0.6,1707.5348809721102,6.727214090202739
0.6,1588.8599694559593,7.366933207764474
0.6,1518.2335322627393,7.836292599069691
0.6,1492.5065090703529,8.19178618246292
0.6,2816.424391038451,4.42415961638339
0.6,2816.424391038451,5.275111113760574
0.6,2339.907358845434,6.157889260334241
0.6,2016.8889222518428,7.133317656845503
0.6,1859.1143481534702,6.725247109956671
0.6,1778.13930934091,6.244431441769395
0.6,1703.6792399986434,6.7375742585402065
0.6,1584.5452548594428,7.3801937906938875
0.6,1513.425096759222,7.852459898707292
0.6,1487.100393631588,8.210485878123972
0.6,2815.2474368799963,4.42519663094994
0.6,2815.2474368799963,5.277361965947656
0.6,2338.130434510333,6.161861426296515
0.6,2014.5779871361285,7.1395095133483775
0.6,1856.2535472705463,6.732640195847978
0.6,1774.681121384249,6.252872958489725
0.6,1699.6136865836631,6.748529698179223
0.6,1580.0080462503377,7.39422875788907
0.6,1508.3689277853114,7.869584348784213
0.6,1481.4167677451455,8.228523471114128
0.6,2814.0080593585903,4.4262895844470815
0.6,2814.0080593585903,5.279747315805545
0.6,2336.2502747777316,6.166060447332359
0.6,2012.140822833889,7.146047015758933
0.6,1853.2425887020092,6.7404515122516235
0.6,1771.041886209625,6.26177987381856
0.6,1695.34497549448,6.760110644120537
0.6,1575.23994969224,7.409087212675849
0.6,1503.0527790395543,7.88604153158524
0.6,1475.7605807311813,8.247091536881411
0.6,2812.7063311386705,4.427438559422489
0.6,2812.7063311386705,5.282239088746656
0.6,2334.2894576111216,6.170453932993499
0.6,2009.5970936005965,7.152893317591676
0.6,1850.0998604240513,6.748622861208352
0.6,1767.2508536017124,6.271121924838577
0.6,1690.8907008731894,6.772274026052451
0.6,1570.2629406054361,7.423951552609596
0.6,1497.6604037244024,7.902925147969953
0.6,1469.9381920598314,8.266618504681192
0.6,2811.3423284948394,4.428643642720826
0.6,2811.3423284948394,5.284847071392847
0.6,2332.2407152861742,6.175053821845914
0.6,2006.940744295727,7.160063091881527
0.6,1846.8200511890484,6.757205764552855
0.6,1763.2863210313635,6.280937148940764
0.6,1686.2359629019654,6.785038303051584
0.6,1565.0737645663721,7.438479793034467
0.6,1492.253606226335,7.920667740041031
0.6,1463.8688857087755,8.287130947238879
0.6,2809.9250991098825,4.429896990659115
0.6,2809.9250991098825,5.287581102668071
0.6,2330.096811074089,6.1798721599350595
0.6,2004.1657649136594,7.1675841628494
0.6,1843.392015625595,6.766191014851989
0.6,1759.1549533922753,6.2912069524019065
0.6,1681.3930032494463,6.797398375625289
0.6,1559.9021187187907,7.453719414043591
0.6,1486.6238576073454,7.939267449445599
0.6,1457.559958656714,8.30865646584677
0.6,2808.445750325496,4.431206624154218
0.6,2808.445750325496,5.290432061606363
0.6,2327.8654114469496,6.184898799741053
0.6,2001.2789872100002,7.175419739343107
0.6,1839.8341406791385,6.775569428821297
0.6,1754.8634096561393,6.301947142121473
0.6,1676.35789203593,6.809810647652876
0.6,1554.647936728371,7.469666648563306
0.6,1480.778009372028,7.958774864378093
0.6,1451.0013050919629,8.331251095529423
0.6,2806.8954093084476,4.4325805868626125
