,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [0], [3, 2], [1], [2, 1], [1, 0, 1], [0]]",2.2783223412392224,6,Constant*((x[0]-Constant)**Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 1, 2, 3, 1]",0.4683428834212554*((x[0]-0.19845968192487887)**-0.14002468248353805) * (x[1]**0.6351987527984237) * (x[2]),[ 0.46834288  0.19845968 -0.14002468  0.63519875],2.5393872144256675,"{'fitness 25': 2.56582526368585, 'fitness 53': 2.197944411648253, 'fitness 74': 2.071197348383563, 'fitness 102': 2.5393872144256675}",True
1,"[[0], [1], [2, 3], [0], [3, 3], [1, 0, 1], [0]]",2.3199701836052746,6,((Constant/x[0]**Constant)/Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 1, 2, 3, 1]",((1.0063412655036026/x[0]**0.19420019673780933)/2.089628868816628) * (x[1]**0.6359042866956683) * (x[2]),[1.00634127 0.1942002  2.08962887 0.63590429],2.583071604615893,"{'fitness 25': 2.633955422276655, 'fitness 53': 2.226170555855056, 'fitness 74': 2.099784572684113, 'fitness 102': 2.583071604615893}",True
2,"[[0], [0], [3, 2], [2], [2], [1, 0], [0]]",2.319970314376266,6,Constant*(x[0]**Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 1, 1, 2, 1]",0.48169829275119413*(x[0]**-0.19420797637474063) * (x[1]**0.6358771938696666) * (x[2]),[ 0.48169829 -0.19420798  0.63587719],2.583009436506212,"{'fitness 25': 2.6340092361050296, 'fitness 53': 2.226156770139811, 'fitness 74': 2.0997449368839574, 'fitness 102': 2.583009436506212}",True
3,"[[0], [2], [2], [1], [0], [1, 0], [0]]",2.4475858416772613,6,(((Constant+x[0])**Constant)**Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 1, 1, 1, 2, 1]",(((1.9752614839916405+x[0])**-3.126904682821106)**0.2107733857605195) * (x[1]**0.6353159863346406) * (x[2]),[ 1.97526148 -3.12690468  0.21077339  0.63531599],2.703537134653306,"{'fitness 25': 2.7772383163191665, 'fitness 53': 2.369817873854386, 'fitness 74': 2.195701334858232, 'fitness 102': 2.703537134653306}",True
4,"[[0], [0], [1, 3], [1, 2], [0, 2, 1], [0, 0, 1, 1], [0, 0]]",2.8201119026184713,6,((x[0]+x[0])*Constant)-Constant * (x[1]**Constant) * (x[2]),"[1, 1, 2, 2, 3, 4, 2]",((x[0]+x[0])*-6.664569608522546)--1.4331703906366902 * (x[1]**0.5284104660082509) * (x[2]),[-6.66456961 -1.43317039  0.52841047],3.0322733016678582,"{'fitness 25': 3.243215873450204, 'fitness 53': 2.777669365723927, 'fitness 74': 2.4394504686812835, 'fitness 102': 3.0322733016678582}",True
5,"[[0], [1], [1, 1], [1, 2, 1, 1], [2, 2, 0, 0, 3, 0], [1, 0, 1, 1, 1, 0, 0], [0, 0, 0]]",3.5534338112281656,6,(((Constant*x[0])*Constant)+((Constant+Constant)/(x[0]+x[0]))) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 4, 6, 7, 3]",(((0.6713835116149695*x[0])*0.3601263936379061)+((0.41685632856050725+0.03897058885247114)/(x[0]+x[0]))) * (x[1]**0.6329343323102912) * (x[2]),[0.67138351 0.36012639 0.41685633 0.03897059 0.63293433],3.5092071139555463,"{'fitness 25': 4.126460410304256, 'fitness 53': 3.6215461852343447, 'fitness 74': 2.9122948381458964, 'fitness 102': 3.5092071139555463}",True
6,"[[0], [1], [3, 2], [0], [2, 2], [0, 0, 0], [0, 0, 0]]",3.8730361541524805,6,(x[0]*(x[0]*x[0]**Constant)) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 1, 2, 3, 3]",(x[0]*(x[0]*x[0]**-2.1682098598253763)) * (x[1]**0.5489441299099804) * (x[2]),[-2.16820986  0.54894413],4.028487699612411,"{'fitness 25': 4.057223010003909, 'fitness 53': 3.9071800810789816, 'fitness 74': 3.6547053713745514, 'fitness 102': 4.028487699612411}",True
7,"[[0], [0], [3, 0], [2, 0], [1, 1, 0], [0, 0, 0, 1], [0, 0, 0]]",4.6187533912983945,6,x[0]-x[0]-x[0]+Constant * (x[1]**Constant) * (x[2]),"[1, 1, 2, 2, 3, 4, 3]",x[0]-x[0]-x[0]+0.6175350891998616 * (x[1]**0.6092535198108304) * (x[2]),[0.61753509 0.60925352],4.9019514594524,"{'fitness 25': 4.7072744856747, 'fitness 53': 4.899610496071388, 'fitness 74': 4.2493751921490945, 'fitness 102': 4.9019514594524}",True
8,"[[0], [0], [3, 0], [2, 0], [1, 1, 0], [1, 1, 1, 1], []]",4.837080911381888,5,Constant-Constant-Constant+Constant * (x[1]**Constant) * (x[2]),"[1, 1, 2, 2, 3, 4, 0]",3.2202608031055004--2.527241504576444--1.981180920597322+0.24903840127195565 * (x[1]**0.7010623048570379) * (x[2]),[ 3.2202608  -2.5272415  -1.98118092  0.2490384   0.7010623 ],5.0737548032644595,"{'fitness 25': 4.932564733143709, 'fitness 53': 5.139884446481481, 'fitness 74': 4.4387935545204735, 'fitness 102': 5.0737548032644595}",True
9,"[[0], [3], [], [], [2, 0, 2, 2], [1, 0, 0, 0, 1], [0, 0, 0]]",4.857423425685614,3,Constant * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 0]",0.5695979225727718 * (x[1]**0.6171450691209384) * (x[2]),[0.56959792 0.61714507],5.1342116275313865,"{'fitness 25': 4.936373720797551, 'fitness 53': 5.149685857960656, 'fitness 74': 4.486210698298635, 'fitness 102': 5.1342116275313865}",True
