,genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [0], [3, 2], [1], [2, 1], [1, 0, 1], [0]]",2.278322291155805,"[1, 1, 2, 1, 2, 3, 1]",6,Constant*((x[0]-Constant)**Constant) * (x[1]**Constant) * (x[2]),0.46836446921851105*((x[0]-0.19860053699678704)**-0.13996242861034466) * (x[1]**0.6351907570860139) * (x[2]),[ 0.46836447  0.19860054 -0.13996243  0.63519076],2.539792953058866,"{'fitness 25': 2.565432194798184, 'fitness 53': 2.198192217031029, 'fitness 74': 2.0713424616382015, 'fitness 102': 2.539792953058866}",True
1,"[[0], [0], [3, 2], [1], [2, 1], [1, 0, 1], [0]]",2.2783223412392224,"[1, 1, 2, 1, 2, 3, 1]",6,Constant*((x[0]-Constant)**Constant) * (x[1]**Constant) * (x[2]),0.4683428834212554*((x[0]-0.19845968192487887)**-0.14002468248353805) * (x[1]**0.6351987527984237) * (x[2]),[ 0.46834288  0.19845968 -0.14002468  0.63519875],2.5393872144256675,"{'fitness 25': 2.56582526368585, 'fitness 53': 2.197944411648253, 'fitness 74': 2.071197348383563, 'fitness 102': 2.5393872144256675}",True
2,"[[0], [0], [3, 2], [0, 2, 1], [0, 2, 3, 2], [1, 1, 0], [0, 0, 0, 0, 0]]",2.3189480663384314,"[1, 1, 2, 1, 2, 3, 1]",6,Constant+(Constant*x[0]**Constant) * (x[1]**Constant) * (x[2]),-1.1419254738620415+(0.5365250615356782*x[0]**-0.19127221313053863) * (x[1]**0.6250560890399064) * (x[2]),[-1.14192547  0.53652506 -0.19127221  0.62505609],2.5888089878755176,"{'fitness 25': 2.6329695389284655, 'fitness 53': 2.222787605861573, 'fitness 74': 2.1010870542252555, 'fitness 102': 2.5888089878755176}",True
3,"[[0], [0], [3, 2], [0, 1], [0, 2, 3, 2], [1, 1, 0, 0], [0, 0, 0, 0]]",2.318948137287597,"[1, 1, 2, 1, 2, 3, 1]",6,Constant+(Constant*x[0]**Constant) * (x[1]**Constant) * (x[2]),-1.1358859375833152+(0.5362257515777199*x[0]**-0.19130339367805896) * (x[1]**0.6251119495158755) * (x[2]),[-1.13588594  0.53622575 -0.19130339  0.62511195],2.588667279399863,"{'fitness 25': 2.633081501377796, 'fitness 53': 2.222723357369612, 'fitness 74': 2.1010395531153834, 'fitness 102': 2.588667279399863}",True
4,"[[0], [0], [3, 2], [0, 1], [0, 2, 3, 2], [1, 1, 0, 0], [0, 0, 0, 0]]",2.3189482663903447,"[1, 1, 2, 1, 2, 3, 1]",6,Constant+(Constant*x[0]**Constant) * (x[1]**Constant) * (x[2]),-1.1530216955924035+(0.5371074563461846*x[0]**-0.19124389068023856) * (x[1]**0.6249453141142622) * (x[2]),[-1.1530217   0.53710746 -0.19124389  0.62494531],2.589104023253265,"{'fitness 25': 2.6328154526933853, 'fitness 53': 2.222852829862232, 'fitness 74': 2.1011765166154164, 'fitness 102': 2.589104023253265}",True
5,"[[0], [0], [3, 2], [0, 2, 1], [0, 2, 3, 2], [1, 1, 0], [0]]",2.31894827522556,"[1, 1, 2, 1, 2, 3, 1]",6,Constant+(Constant*x[0]**Constant) * (x[1]**Constant) * (x[2]),-1.128119152645404+(0.5358123258368833*x[0]**-0.19130954602051917) * (x[1]**0.6251904221787208) * (x[2]),[-1.12811915  0.53581233 -0.19130955  0.62519042],2.588671517203644,"{'fitness 25': 2.6330153747830205, 'fitness 53': 2.2227849595759976, 'fitness 74': 2.1010444913176616, 'fitness 102': 2.588671517203644}",True
6,"[[0], [1], [3, 2], [0], [3, 3], [1, 1, 0], [0]]",2.319970150169773,"[1, 1, 2, 1, 2, 3, 1]",6,(Constant/(Constant/x[0]**Constant)) * (x[1]**Constant) * (x[2]),(0.5593910406867171/(1.1615147929072136/x[0]**-0.19421519497012957)) * (x[1]**0.6359000021481434) * (x[2]),[ 0.55939104  1.16151479 -0.19421519  0.6359    ],2.5830298443351856,"{'fitness 25': 2.6340201691560714, 'fitness 53': 2.2261220777209165, 'fitness 74': 2.099768203632331, 'fitness 102': 2.5830298443351856}",True
7,"[[0], [0], [3, 2], [1], [2, 2, 3, 2], [1, 1, 0, 0], [0]]",2.319970151568455,"[1, 1, 2, 1, 2, 3, 1]",6,Constant*((Constant*x[0])**Constant) * (x[1]**Constant) * (x[2]),0.40241657827199223*((0.39654797063146047*x[0])**-0.19421255786387234) * (x[1]**0.6358997794024146) * (x[2]),[ 0.40241658  0.39654797 -0.19421256  0.63589978],2.5830290174991095,"{'fitness 25': 2.634013897303913, 'fitness 53': 2.226128756058068, 'fitness 74': 2.099767801343386, 'fitness 102': 2.5830290174991095}",True
8,"[[0], [1], [3, 2], [1], [2, 2, 3, 2], [1, 0, 1], [0]]",2.319970151568455,"[1, 1, 2, 1, 2, 3, 1]",6,(Constant*((x[0]*Constant)**Constant)) * (x[1]**Constant) * (x[2]),(0.40241657827199223*((x[0]*0.39654797063146047)**-0.19421255786387234)) * (x[1]**0.6358997794024146) * (x[2]),[ 0.40241658  0.39654797 -0.19421256  0.63589978],2.5830290174991095,"{'fitness 25': 2.634013897303913, 'fitness 53': 2.226128756058068, 'fitness 74': 2.099767801343386, 'fitness 102': 2.5830290174991095}",True
9,"[[0], [0], [3, 2], [0, 2, 1], [2, 2, 3, 2], [1, 1, 0, 0], [0, 0, 0, 0, 0]]",2.3199701519242066,"[1, 1, 2, 1, 2, 3, 1]",6,Constant*(Constant*x[0]**Constant) * (x[1]**Constant) * (x[2]),0.5900055113247922*(0.8162737624014093*x[0]**-0.19421678833105857) * (x[1]**0.6358998465161885) * (x[2]),[ 0.59000551  0.81627376 -0.19421679  0.63589985],2.5829820720631522,"{'fitness 25': 2.634055679100627, 'fitness 53': 2.2261015856001674, 'fitness 74': 2.0997531910718266, 'fitness 102': 2.5829820720631522}",True
10,"[[0], [0], [3, 2], [1], [2, 2, 3, 2], [1, 1, 0, 0], [0, 0, 0, 0]]",2.319970153161084,"[1, 1, 2, 1, 2, 3, 1]",6,Constant*((Constant*x[0])**Constant) * (x[1]**Constant) * (x[2]),0.14751004961567005*((0.0022598127157550116*x[0])**-0.19421350460491565) * (x[1]**0.6358983559425062) * (x[2]),[ 0.14751005  0.00225981 -0.1942135   0.63589836],2.583060484500829,"{'fitness 25': 2.6339952182862687, 'fitness 53': 2.2261387090353035, 'fitness 74': 2.09977653216168, 'fitness 102': 2.583060484500829}",True
11,"[[0], [0], [3, 2], [2], [2, 1], [1, 0], [0]]",2.3199701533253094,"[1, 1, 2, 1, 1, 2, 1]",6,Constant*(x[0]**Constant) * (x[1]**Constant) * (x[2]),0.48161244700682376*(x[0]**-0.19421291397011886) * (x[1]**0.6358981925453961) * (x[2]),[ 0.48161245 -0.19421291  0.63589819],2.5830243266629607,"{'fitness 25': 2.63401747657325, 'fitness 53': 2.226127834454391, 'fitness 74': 2.0997651489482876, 'fitness 102': 2.5830243266629607}",True
12,"[[0], [0], [3, 2], [1], [2, 2, 3, 2], [1, 0, 1], [0, 0, 0, 0]]",2.3199701533819934,"[1, 1, 2, 1, 2, 3, 1]",6,Constant*((x[0]*Constant)**Constant) * (x[1]**Constant) * (x[2]),0.43978349080813656*((x[0]*0.6263905734439954)**-0.1942171157808669) * (x[1]**0.6358989945161434) * (x[2]),[ 0.43978349  0.62639057 -0.19421712  0.63589899],2.5829769651055687,"{'fitness 25': 2.634059655576546, 'fitness 53': 2.2260998446966207, 'fitness 74': 2.099750959872814, 'fitness 102': 2.5829769651055687}",True
13,"[[0], [0], [3, 2], [1], [2, 2, 3, 2], [1, 1, 0, 0], [0, 0, 0, 0]]",2.3199701536757185,"[1, 1, 2, 1, 2, 3, 1]",6,Constant*((Constant*x[0])**Constant) * (x[1]**Constant) * (x[2]),0.4493198948430927*((0.6995482925115042*x[0])**-0.19421421024172067) * (x[1]**0.635899274049293) * (x[2]),[ 0.44931989  0.69954829 -0.19421421  0.63589927],2.5829834909738176,"{'fitness 25': 2.6340479858141865, 'fitness 53': 2.2261092487794216, 'fitness 74': 2.0997532264335477, 'fitness 102': 2.5829834909738176}",True
14,"[[0], [0], [3, 2], [2], [2, 1], [1, 0], [0]]",2.319970153808366,"[1, 1, 2, 1, 1, 2, 1]",6,Constant*(x[0]**Constant) * (x[1]**Constant) * (x[2]),0.48161049910027615*(x[0]**-0.19421180513345118) * (x[1]**0.6358985278956634) * (x[2]),[ 0.4816105  -0.19421181  0.63589853],2.583065926953458,"{'fitness 25': 2.633987325124469, 'fitness 53': 2.22614476553606, 'fitness 74': 2.0997783707645694, 'fitness 102': 2.583065926953458}",True
